BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33137
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27R - LARCENY THEFT â€“ RETAIL,33130
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33138
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27 - LARCENY THEFT,33136
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33138
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33133
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,27R - LARCENY THEFT â€“ RETAIL,33133
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,28 - VANDALISM,33131
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,22 - STOLEN VEHICLE,33138
3/22/2024,Flood,MIAMI-DADE,FLORIDA,3/22/2024,22 - STOLEN VEHICLE,33125
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,28 - VANDALISM,33131
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33137
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27 - LARCENY THEFT,33127
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,26 - BURGLARY,33136
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,26 - BURGLARY,33138
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33137
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27 - LARCENY THEFT,33127
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,22 - STOLEN VEHICLE,33125
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33142
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,28 - VANDALISM,33137
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,22 - STOLEN VEHICLE,33138
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27 - LARCENY THEFT,33129
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,28 - VANDALISM,33136
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27 - LARCENY THEFT,33150
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33126
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,22 - STOLEN VEHICLE,33145
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27 - LARCENY THEFT,33133
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,28 - VANDALISM,33137
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,26 - BURGLARY,33142
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33134
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,28 - VANDALISM,33138
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27R - LARCENY THEFT â€“ RETAIL,33130
3/6/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,3/6/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33137
